epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.144,1.6028,2.90484,1.43925,0.01248,0.805,0.31316,0.17175,1.18402,2.89934,1.13402,0.00024,0.00024,0.00024
2,263.384,1.15963,1.67521,1.11526,0.01403,0.905,0.35468,0.21803,1.08343,2.71982,1.05613,0.00047525,0.00047525,0.00047525
3,405.698,1.11547,1.35097,1.0716,0.6617,0.215,0.40898,0.24787,1.16491,2.50331,1.12964,0.00068476,0.00068476,0.00068476
4,537.775,1.12323,1.34818,1.09002,0.65499,0.4,0.50705,0.33424,1.09594,2.20059,1.0294,0.00086853,0.00086853,0.00086853
5,635.05,1.07944,1.25443,1.06991,0.62593,0.425,0.53883,0.34839,1.09932,2.18911,1.03079,0.00102656,0.00102656,0.00102656
6,727.808,1.13964,1.26346,1.07262,0.7336,0.64714,0.67598,0.46947,1.1242,1.79326,1.07709,0.00115885,0.00115885,0.00115885
7,816.669,1.08062,1.13748,1.05311,0.74155,0.74601,0.77818,0.51564,1.13553,1.52975,1.08469,0.0012654,0.0012654,0.0012654
8,904.567,1.05492,1.14703,1.05545,0.78288,0.72117,0.75478,0.49317,1.09219,1.58032,1.0572,0.001307,0.001307,0.001307
9,995.059,1.04672,1.06966,1.05259,0.77802,0.705,0.75807,0.50436,1.09781,1.38163,1.08257,0.001208,0.001208,0.001208
10,1124.62,1.06978,1.05315,1.05214,0.62758,0.76,0.63715,0.40378,1.14156,1.46319,1.10369,0.001109,0.001109,0.001109
11,1232.1,1.07742,1.24015,1.0676,0.73671,0.685,0.70315,0.413,1.16804,1.63574,1.13251,0.00101,0.00101,0.00101
12,1331.8,1.05086,1.19339,1.0535,0.8376,0.785,0.83695,0.58055,0.98216,1.13433,1.04774,0.000911,0.000911,0.000911
13,1429.93,0.96613,1.10852,1.01884,0.84376,0.83,0.86985,0.57938,0.97628,1.11393,1.00589,0.000812,0.000812,0.000812
14,1528.69,1.01005,1.09792,1.0218,0.86174,0.8414,0.90096,0.59209,1.05179,1.1047,1.04375,0.000713,0.000713,0.000713
15,1627.66,0.95063,1.05044,0.9905,0.8654,0.86801,0.90132,0.62708,1.00771,1.01623,1.01553,0.000614,0.000614,0.000614
16,1727.1,0.95473,1.00737,1.00182,0.83104,0.875,0.88645,0.60711,1.02127,0.98384,0.9883,0.000515,0.000515,0.000515
17,1826.28,0.94885,0.99595,0.98415,0.89131,0.86104,0.89245,0.63403,0.96143,0.94632,0.99471,0.000416,0.000416,0.000416
18,1927.89,0.91922,0.96549,0.9766,0.863,0.85039,0.89039,0.63778,0.92274,0.95571,0.97833,0.000317,0.000317,0.000317
19,2026.76,0.86955,0.90882,0.95849,0.85045,0.865,0.89175,0.62844,0.92037,0.93239,0.96676,0.000218,0.000218,0.000218
20,2124.96,0.8585,0.90646,0.96477,0.87791,0.855,0.88845,0.64885,0.89447,0.89997,0.95421,0.000119,0.000119,0.000119
